supplier,customer,revenue_pct,start_date,end_date
Land Securities Group Plc,Alliance Boots Holdings Ltd.,1.5,2013-09-17 19:00:00,2014-07-23 19:00:00
Land Securities Group Plc,Associated British Foods Plc,1.5,2013-09-17 19:00:00,2014-07-23 19:00:00
Land Securities Group Plc,"Walgreens Boots Alliance, Inc.",1.5,2015-09-08 8:00:00,NULL
Land Securities Group Plc,J Sainsbury Plc,1.6,2014-07-23 19:00:00,2015-09-08 8:00:00
Land Securities Group Plc,K&L Gates LLP,1.6,2011-07-23 0:00:00,2012-08-09 18:00:00
Land Securities Group Plc,Arcadia Group Ltd.,1.7,2011-07-23 0:00:00,2012-08-09 18:00:00
Land Securities Group Plc,Alliance Boots Holdings Ltd.,1.7,2014-07-23 19:00:00,2015-03-19 14:00:00
Land Securities Group Plc,"Mizuho Financial Group, Inc.",1.7,2016-07-22 8:00:00,NULL
Land Securities Group Plc,Arcadia Group Ltd.,1.8,2014-07-23 19:00:00,2015-09-08 8:00:00
Land Securities Group Plc,J Sainsbury Plc,1.9,2012-08-09 18:00:00,2013-09-17 14:00:00
Land Securities Group Plc,J Sainsbury Plc,1.9,2013-09-17 19:00:00,2014-07-23 19:00:00
Land Securities Group Plc,J Sainsbury Plc,2,2011-07-23 0:00:00,2012-08-09 18:00:00
Land Securities Group Plc,Associated British Foods Plc,2.1,2015-09-08 8:00:00,2016-07-22 8:00:00
Land Securities Group Plc,Associated British Foods Plc,2.2,2014-07-23 19:00:00,2015-09-08 8:00:00
Land Securities Group Plc,Arcadia Group Ltd.,2.3,2013-09-17 19:00:00,2014-07-23 19:00:00
Land Securities Group Plc,Arcadia Group Ltd.,2.5,2012-08-09 18:00:00,2013-09-17 14:00:00
Land Securities Group Plc,Deloitte Touche Tohmatsu Ltd.,2.6,2017-01-10 19:00:00,2017-10-27 8:00:00
Land Securities Group Plc,Deloitte Touche Tohmatsu Ltd.,2.6,2011-07-23 0:00:00,2013-09-17 14:00:00
Land Securities Group Plc,Deloitte Touche Tohmatsu Ltd.,2.6,2014-07-23 19:00:00,2015-09-08 8:00:00
Land Securities Group Plc,Deloitte LLP,2.6,2015-09-08 8:00:00,2017-01-10 19:00:00
Land Securities Group Plc,Deloitte Touche Tohmatsu Ltd.,2.7,2013-09-17 19:00:00,2014-07-23 19:00:00
Land Securities Group Plc,Royal Bank of Scotland Group Plc,2.7,2013-09-17 19:00:00,2014-07-23 19:00:00
Land Securities Group Plc,Royal Bank of Scotland Group Plc,2.9,2012-08-09 18:00:00,2013-09-17 14:00:00
Land Securities Group Plc,Accor SA,4.5,2011-07-23 0:00:00,2012-08-09 18:00:00
Land Securities Group Plc,Accor SA,4.7,2012-08-09 18:00:00,2013-09-17 14:00:00
Land Securities Group Plc,Government of United Kingdom,4.7,2014-07-23 19:00:00,2017-10-27 8:00:00
Land Securities Group Plc,Accor SA,4.8,2014-07-23 19:00:00,2015-09-08 8:00:00
Land Securities Group Plc,Accor SA,5,2015-09-08 8:00:00,2016-06-16 8:00:00
Land Securities Group Plc,Government of United Kingdom,5.1,2017-10-27 8:00:00,NULL
Land Securities Group Plc,Accor SA,5.1,2017-10-27 8:00:00,NULL
Land Securities Group Plc,Deloitte Touche Tohmatsu Ltd.,5.2,2017-10-27 8:00:00,NULL
Land Securities Group Plc,Government of United Kingdom,5.2,2013-09-17 19:00:00,2014-07-23 19:00:00
Land Securities Group Plc,Accor SA,5.2,2016-07-22 8:00:00,2017-10-27 8:00:00
Land Securities Group Plc,Government of United Kingdom,6,2012-08-09 18:00:00,2013-09-17 14:00:00
Land Securities Group Plc,Government of United Kingdom,10.7,2011-07-23 0:00:00,2012-05-28 12:30:00
Gazprom PJSC,Naftogaz of Ukraine NJSC,2.79,2015-09-02 14:00:00,2016-08-04 14:00:00
Gazprom PJSC,Gazprom Mezhregiongaz JSC,14.64,2015-09-02 14:00:00,2016-08-04 14:00:00
Petronas Gas Bhd.,Tenaga Nasional Bhd.,0.89,2017-06-05 14:00:00,NULL
Petronas Gas Bhd.,Tenaga Nasional Bhd.,1.55,2016-08-03 14:00:00,2017-06-05 14:00:00
Petronas Gas Bhd.,Petroliam Nasional Bhd.,76.56,2017-06-05 14:00:00,NULL
Petronas Gas Bhd.,Petroliam Nasional Bhd.,78.15,2016-08-03 14:00:00,2017-06-05 14:00:00
